Nome completo,Continente,País,Década principal de impacto,Ano de nascimento,Período de atividade documentado,Principal impacto (resumo),Setor de atuação (categoria),Instituição/Organização de vínculo,Local de nascimento/residência,Principais obras/contribuições (máx. 3 linhas),Links de comprovação (1 por linha),Qualidade da evidência (Alto/Médio/Baixo)
Kristina Vušković,Europa,Serbia,1960s,1967,,Serbian mathematician (born 1967),mathematician,,,,https://en.wikipedia.org/wiki/Kristina_Vušković,Médio
Ruth A. Weiss,Europa,,1940s,1945,,British Software engineer,designer; engineer; software engineer,,Willesden,,https://en.wikipedia.org/wiki/Ruth_A._Weiss,Médio
Sylvia Wilbur,Europa,,1930s,1938,,British computer scientist who worked on the early ARPANET,computer scientist,,,,https://en.wikipedia.org/wiki/Sylvia_Wilbur,Médio
Sophie Wilson,Europa,United Kingdom,1950s,1957,,English computer scientist (born 1957),computer scientist; engineer; mathematician,,Leeds,,https://en.wikipedia.org/wiki/Sophie_Wilson,Médio
Mary Lee Woods,Europa,United Kingdom,1920s,1924,,British mathematician and computer programmer,computer scientist; mathematician; programmer,,Birmingham,,https://en.wikipedia.org/wiki/Mary_Lee_Woods,Médio
Jade Alglave,Europa,France,1980s,1984,,French computer scientist,computer scientist; professor,,,,https://en.wikipedia.org/wiki/Jade_Alglave,Médio
Leila Amgoud,Europa,Algeria,1970s,1972,,Algerian and French computer scientist,computer scientist,,Algeria,,https://en.wikipedia.org/wiki/Leila_Amgoud,Médio
Bernadette Bouchon-Meunier,Europa,France,1940s,1948,,French computer scientist,computer scientist; information scientist; university teacher,,,,https://en.wikipedia.org/wiki/Bernadette_Bouchon-Meunier,Médio
Patricia Bouyer-Decitre,Europa,France,1970s,1976,,French theoretical computer scientist,computer scientist; researcher,,,,https://en.wikipedia.org/wiki/Patricia_Bouyer-Decitre,Médio
Marie-Paule Cani,Europa,France,1960s,1965,,French computer scientist,computer scientist; researcher,,,,https://en.wikipedia.org/wiki/Marie-Paule_Cani,Médio
Alexandra Carpentier,Europa,France,1980s,1987,,French mathematical statistician,mathematician,,Bourg-la-Reine,,https://en.wikipedia.org/wiki/Alexandra_Carpentier,Médio
Claudette Cayrol,Europa,,1950s,1959,,French computer scientist,computer scientist,,,,https://en.wikipedia.org/wiki/Claudette_Cayrol,Médio
Laura Chaubard,Europa,France,1980s,1980,,French mathematician (born 1980),computer scientist,,,,https://en.wikipedia.org/wiki/Laura_Chaubard,Médio
Feng Chu,Europa,People's Republic of China,1960s,1965,,Chinese-French operations researcher,researcher,,,,https://en.wikipedia.org/wiki/Feng_Chu,Médio
Sarah Cohen-Boulakia,Europa,France,1980s,1980,,French computer scientist and data scientist,bioinformatician; professeur des universités,,,,https://en.wikipedia.org/wiki/Sarah_Cohen-Boulakia,Médio
Marie-Odile Cordier,Europa,France,1950s,1950,,French computer scientist (born 1950),computer scientist,,,,https://en.wikipedia.org/wiki/Marie-Odile_Cordier,Médio
Radhia Cousot,Europa,France,1940s,1947,,Inventor of abstract interpretation,computer scientist; engineer,,Sakiet Sidi Youssef,,https://en.wikipedia.org/wiki/Radhia_Cousot,Médio
Joëlle Coutaz,Europa,France,1940s,1946,,French computer scientist,computer scientist,,,,https://en.wikipedia.org/wiki/Joëlle_Coutaz,Médio
Marion Créhange,Europa,France,1930s,1937,,French computer scientist and professor (1937–2022),computer scientist; professeur des universités,,Nancy,,https://en.wikipedia.org/wiki/Marion_Créhange,Médio
Marguerite Frank,Europa,United States,1920s,1927,,American-French mathematician (1927–2024),computer scientist; engineer; mathematician; statistician; university teacher,,9th arrondissement of Paris,,https://en.wikipedia.org/wiki/Marguerite_Frank,Médio
Marie-Claude Gaudel,Europa,France,1940s,1946,,French computer scientist (born 1946),computer scientist; mathematician; researcher,,Nancy,,https://en.wikipedia.org/wiki/Marie-Claude_Gaudel,Médio
Valérie Issarny,Europa,France,1960s,1964,,French computer scientist (1964–2022),computer scientist,,,,https://en.wikipedia.org/wiki/Valérie_Issarny,Médio
Emilie Kaufmann,Europa,,1980s,1987,,French statistician and computer scientist,computer scientist; researcher; statistician,,,,https://en.wikipedia.org/wiki/Emilie_Kaufmann,Médio
Julia Kempe,Europa,Germany,1970s,1973,,"French, German, and Israeli researcher in quantum computing",computer scientist; mathematician; physicist; researcher,,East Berlin,,https://en.wikipedia.org/wiki/Julia_Kempe,Médio
Martine Kempf,Europa,France,1950s,1958,,"Martine Kempf is a French computer scientist who is known for inventing the Katalavox in 1985, a computer-based voice activation system.
Martine Kempf was born to Jean-Pierre Kempf...",computer scientist; inventor,,Strasbourg,,https://en.wikipedia.org/wiki/Martine_Kempf,Médio
Anne-Marie Kermarrec,Europa,France,1970s,1970,,French computer scientist (born 1970),computer scientist,,Rennes,,https://en.wikipedia.org/wiki/Anne-Marie_Kermarrec,Médio
Monique Laurent,Europa,France,1960s,1960,,French computer scientist and mathematician,computer scientist; mathematician; researcher,,,,https://en.wikipedia.org/wiki/Monique_Laurent,Médio
Claire Mathieu,Europa,France,1960s,1965,,French computer scientist,computer scientist; mathematician; researcher,,Caen,,https://en.wikipedia.org/wiki/Claire_Mathieu,Médio
Christine Paulin-Mohring,Europa,France,1960s,1962,,Mathematical logician and computer scientist,computer scientist; mathematician,,,,https://en.wikipedia.org/wiki/Christine_Paulin-Mohring,Médio
Brigitte Plateau,Europa,France,1950s,1954,,French computer scientist,computer scientist,,Paris,,https://en.wikipedia.org/wiki/Brigitte_Plateau,Médio
Alice Recoque,Europa,France,1920s,1929,,French computer scientist (1929–2021),computer scientist; engineer; patent inventor,,Cherchell,,https://en.wikipedia.org/wiki/Alice_Recoque,Médio
Nathalie Revol,Europa,France,1960s,1967,,French computer scientist,computer scientist; scientist; university teacher,,,,https://en.wikipedia.org/wiki/Nathalie_Revol,Médio
Colette Rolland,Europa,France,1940s,1943,,French computer scientist,computer scientist; university teacher,,Dieupentale,,https://en.wikipedia.org/wiki/Colette_Rolland,Médio
Marie-Christine Rousset,Europa,France,1950s,1958,,French computer scientist,computer scientist; researcher,,Rabat,,https://en.wikipedia.org/wiki/Marie-Christine_Rousset,Médio
Cordelia Schmid,Europa,Germany,1960s,1967,,"German computer vision researcher, born 1967",computer scientist; researcher; university teacher,,Mainz,,https://en.wikipedia.org/wiki/Cordelia_Schmid,Médio
Monique Teillaud,Europa,France,1960s,1961,,French researcher,computer scientist; mathematician,,Paris,,https://en.wikipedia.org/wiki/Monique_Teillaud,Médio
Jocelyne Troccaz,Europa,France,1950s,1959,,French roboticist,computer scientist; researcher; roboticist,,Sallanches,,https://en.wikipedia.org/wiki/Jocelyne_Troccaz,Médio
Mariette Yvinec,Europa,France,1950s,1953,,French mathematician,computer scientist; mathematician,,,,https://en.wikipedia.org/wiki/Mariette_Yvinec,Médio
Susanne Albers,Europa,Germany,1960s,1965,,German theoretical computer scientist,computer scientist; engineer,,Georgsmarienhütte,,https://en.wikipedia.org/wiki/Susanne_Albers,Médio
Elisabeth André,Europa,Germany,1960s,1961,,German Computer Scientist,computer scientist; professor,,Saarlouis,,https://en.wikipedia.org/wiki/Elisabeth_André,Médio
Christel Baier,Europa,Germany,1960s,1965,,German theoretical computer scientist,researcher,,Karlsruhe,,https://en.wikipedia.org/wiki/Christel_Baier,Médio
Hannah Bast,Europa,Germany,1970s,1970,,German computer scientist,computer scientist; university teacher,,Hanau,,https://en.wikipedia.org/wiki/Hannah_Bast,Médio
Corinna Bath,Europa,,1960s,1963,,German computer scientist,computer scientist; mathematician; university teacher,,,,https://en.wikipedia.org/wiki/Corinna_Bath,Médio
Maren Bennewitz,Europa,,1970s,1973,,German computer scientist,computer scientist,,,,https://en.wikipedia.org/wiki/Maren_Bennewitz,Médio
Susanne Biundo-Stephan,Europa,Germany,1950s,1955,,German computer scientist,computer scientist,,,,https://en.wikipedia.org/wiki/Susanne_Biundo-Stephan,Médio
Jessica Burgner-Kahrs,Europa,Germany,1980s,1981,,German roboticist (born 1981),computer scientist; roboticist,,Wuppertal,,https://en.wikipedia.org/wiki/Jessica_Burgner-Kahrs,Médio
Kerstin Dautenhahn,Europa,,1960s,1964,,German computer scientist,biologist; computer scientist; researcher; university teacher,,,,https://en.wikipedia.org/wiki/Kerstin_Dautenhahn,Médio
Carola Doerr,Europa,Germany,1980s,1984,,German computer scientist,computer scientist; researcher,,Saarbrücken,,https://en.wikipedia.org/wiki/Carola_Doerr,Médio
Claudia Eckert (computer scientist),Europa,Germany,1950s,1959,,German computer scientist,computer scientist; professor; university teacher,,Duisburg,,https://en.wikipedia.org/wiki/Claudia_Eckert_(computer_scientist),Médio
Anja Feldmann,Europa,Germany,1960s,1966,,German computer scientist,computer scientist; researcher; university teacher,,Bielefeld,,https://en.wikipedia.org/wiki/Anja_Feldmann,Médio
Monika Henzinger,Europa,Germany,1960s,1966,,German computer scientist,computer engineer; computer scientist; university teacher,,Weiden in der Oberpfalz,,https://en.wikipedia.org/wiki/Monika_Henzinger,Médio
Stefanie Jegelka,Europa,,1980s,1981,,German computer scientist,computer scientist,,,,https://en.wikipedia.org/wiki/Stefanie_Jegelka,Médio
Sabina Jeschke,Europa,Germany,1960s,1968,,German computer scientist,computer scientist; engineer; physicist; scientist; university teacher,,Kungälv,,https://en.wikipedia.org/wiki/Sabina_Jeschke,Médio
Julia Kempe,Europa,Germany,1970s,1973,,"French, German, and Israeli researcher in quantum computing",computer scientist; mathematician; physicist; researcher,,East Berlin,,https://en.wikipedia.org/wiki/Julia_Kempe,Médio
Kathrin Klamroth,Europa,,1960s,1968,,German mathematician and computer scientist,computer scientist; mathematician,,,,https://en.wikipedia.org/wiki/Kathrin_Klamroth,Médio
Gudrun J. Klinker,Europa,Germany,1950s,1958,,German computer scientist and professor,computer scientist; professor,,Fürstenau,,https://en.wikipedia.org/wiki/Gudrun_J._Klinker,Médio
Ina Koch,Europa,,1950s,1958,,German bioinformatician (born 1958),bioinformatician; biologist; computer scientist; researcher,,,,https://en.wikipedia.org/wiki/Ina_Koch,Médio
Tanja Lange,Europa,Germany,1970s,1975,,German cryptographer and mathematician,computer scientist; mathematician,,Bad Gandersheim,,https://en.wikipedia.org/wiki/Tanja_Lange,Médio
Marianne Laqueur,Europa,Germany,1910s,1918,,German computer scientist (1918–2006),computer scientist,,Berlin,,https://en.wikipedia.org/wiki/Marianne_Laqueur,Médio
